Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 340.942 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 357.793 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 393.578 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 397.951 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 420.447 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 441.748 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 468.674 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 37; Mean: 37; Variance: 0; Size: 1000; Time: 503.83 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 38; Mean: 38; Variance: 0; Size: 1000; Time: 513.345 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 39; Mean: 39; Variance: 0; Size: 1000; Time: 542.602 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 40; Mean: 40; Variance: 0; Size: 1000; Time: 574.967 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 41; Mean: 41; Variance: 0; Size: 1000; Time: 585.419 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 42; Mean: 42; Variance: 0; Size: 1000; Time: 617.075 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 5; Mean: 5; Variance: 0; Size: 1000; Time: 15.6464 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 25.9665 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 9; Mean: 8.922; Variance: 0.071916; Size: 1000; Time: 57.5762 ms; Top5 histogram(relative to max) : 0 0 0 78 922 ;
Max: 10; Mean: 9.995; Variance: 0.004975; Size: 1000; Time: 73.7715 ms; Top5 histogram(relative to max) : 0 0 0 5 995 ;
Max: 12; Mean: 11.158; Variance: 0.133036; Size: 1000; Time: 109.532 ms; Top5 histogram(relative to max) : 0 0 0 842 158 ;
Max: 13; Mean: 12.348; Variance: 0.226896; Size: 1000; Time: 119.125 ms; Top5 histogram(relative to max) : 0 0 0 652 348 ;
Max: 14; Mean: 13.722; Variance: 0.200716; Size: 1000; Time: 123.118 ms; Top5 histogram(relative to max) : 0 0 0 278 722 ;
Max: 15; Mean: 14.877; Variance: 0.107871; Size: 1000; Time: 126.864 ms; Top5 histogram(relative to max) : 0 0 0 123 877 ;
Max: 16; Mean: 15.923; Variance: 0.071071; Size: 1000; Time: 136.297 ms; Top5 histogram(relative to max) : 0 0 0 77 923 ;
